closing_time_of_funding_and_candle,hourly_funding_rate,annualized_funding_rate,premium,openPrice,closingPrice,volume,open_interest
1735689600054,1.25e-05,0.10950000000000001,0.0002558524,,,,
1735693200077,1.81785e-05,0.15924366,0.0006454283,,,,
1735696800072,3.42325e-05,0.2998767,0.0007738596,,,,
1735700400125,4.4799e-05,0.3924392400000001,0.0008583918,,,,
1735704000070,5.19877e-05,0.45541225199999996,0.0009159012,,,,
1735707600170,4.48671e-05,0.393035796,0.0008589367,,,,
1735711200066,5.40558e-05,0.47352880799999997,0.0009324466,93631.0,93885.0,153.91402,
1735714800086,5.96337e-05,0.522391212,0.0009770695,93885.0,93848.0,109.70464,
1735718400132,6.18781e-05,0.542052156,0.0009950247,93848.0,93774.0,94.16012,
1735722000046,4.45835e-05,0.39055145999999996,0.000856668,93773.0,93501.0,472.24686,
1735725600089,1.25e-05,0.10950000000000001,0.0004058799,93501.0,93487.0,991.43492,
1735729200037,2.3271e-05,0.20385396,0.0006861681,93486.0,93375.0,132.49838,
1735732800109,3.6664e-05,0.32117664,0.0007933117,93381.0,93527.0,139.22184,
1735736400136,3.84887e-05,0.337161012,0.0008079099,93527.0,93912.0,152.20966,
1735740000197,4.67339e-05,0.409388964,0.0008738714,93912.0,94115.0,129.71858,
1735743600144,1.93354e-05,0.169378104,0.0006546832,94115.0,94256.0,452.19404,
1735747200147,5.13749e-05,0.450044124,0.0009109989,94257.0,94551.0,413.11811,
1735750800012,3.57195e-05,0.31290282,0.0007857564,94550.0,94165.0,564.69831,
1735754400038,1.40523e-05,0.12309814799999999,0.0006124187,94149.0,94215.0,309.82134,
1735758000085,4.66916e-05,0.409018416,0.0008735326,94222.0,94415.0,262.37615,
1735761600055,5.65034e-05,0.494969784,0.0009520273,94393.0,94725.0,312.1071,
1735765200084,6.24829e-05,0.547350204,0.0009998631,94724.0,94871.0,301.83285,
1735768800022,7.08017e-05,0.620222892,0.0010664134,94889.0,95058.0,480.87884,
1735772400024,4.51486e-05,0.395501736,0.0008611885,95065.0,94860.0,305.04881,
1735776000035,2.74845e-05,0.24076422,0.0007198764,94859.0,94640.0,718.62351,
1735779600036,1.25e-05,0.10950000000000001,0.0004538273,94640.0,95174.0,534.99668,
1735783200113,1.25e-05,0.10950000000000001,0.0005376967,95173.0,94921.0,362.67947,
1735786800118,1.25e-05,0.10950000000000001,0.0005602853,94920.0,95291.0,103.70348,
1735790400032,1.25e-05,0.10950000000000001,0.0003824907,95295.0,95049.0,121.7117,
1735794000034,1.25e-05,0.10950000000000001,0.0004663614,95062.0,95748.0,433.7938,
1735797600034,1.25e-05,0.10950000000000001,0.0005772884,95748.0,95677.0,307.38357,
1735801200117,2.5002e-05,0.21901752,0.0007000163,95679.0,95654.0,262.93278,
1735804800072,3.67324e-05,0.321775824,0.0007938593,95653.0,95901.0,105.38245,
1735808400183,2.08376e-05,0.182537376,0.0006667011,95902.0,96224.0,247.78301,
1735812000103,2.8833e-05,0.25257708,0.0007306638,96224.0,96820.0,757.23302,
1735815600036,3.03936e-05,0.266247936,0.0007431488,96820.0,96732.0,650.96864,
1735819200001,1.55111e-05,0.135877236,0.0006240886,96740.0,96787.0,486.81206,
1735822800000,1.25e-05,0.10950000000000001,0.0005963049,96788.0,96896.0,202.22536,
1735826400005,1.39711e-05,0.12238683600000001,0.0006117685,96897.0,96487.0,634.23628,
1735830000058,1.29305e-05,0.11327117999999999,0.0006034438,96487.0,97353.0,1469.43677,
1735833600187,2.62306e-05,0.22978005599999998,0.0007098446,97353.0,96521.0,652.4233,
1735837200037,1.25e-05,0.10950000000000001,0.0005768975,96525.0,97260.0,1140.49953,
1735840800194,1.25e-05,0.10950000000000001,0.0003581258,97260.0,96792.0,651.72884,
1735844400036,1.25e-05,0.10950000000000001,0.0003667179,96793.0,97360.0,325.17909,
1735848000101,1.25e-05,0.10950000000000001,0.0002954967,97360.0,97334.0,716.91389,
1735851600054,1.25e-05,0.10950000000000001,5.65274e-05,97333.0,97273.0,921.31,
1735855200028,1.25e-05,0.10950000000000001,-2.8834e-06,97289.0,97231.0,326.24601,
1735858800038,1.25e-05,0.10950000000000001,-4.40673e-05,97230.0,96904.0,791.60836,
1735862400016,1.25e-05,0.10950000000000001,7.33529e-05,96904.0,96990.0,262.84329,
1735866000130,1.25e-05,0.10950000000000001,-0.0001146453,96991.0,96810.0,193.33345,
1735869600124,1.25e-05,0.10950000000000001,-0.0001049216,96811.0,96973.0,340.98341,
1735873200115,1.25e-05,0.10950000000000001,-7.31629e-05,96974.0,96960.0,282.50928,
1735876800045,1.25e-05,0.10950000000000001,-0.0001251977,96960.0,97048.0,103.10468,
1735880400012,1.25e-05,0.10950000000000001,-0.0001480576,97048.0,96801.0,180.21127,
1735884000188,1.25e-05,0.10950000000000001,-0.000203548,96805.0,96747.0,234.97347,
1735887600102,1.25e-05,0.10950000000000001,-0.0002440158,96747.0,96513.0,148.49584,
