closing_time_of_funding_and_candle,hourly_funding_rate,annualized_funding_rate,premium,openPrice,closingPrice,volume
1735689600054,1.25e-05,0.10950000000000001,0.0002316655,,,
1735693200077,1.25e-05,0.10950000000000001,1.58008e-05,,,
1735696800072,1.25e-05,0.10950000000000001,-6.49089e-05,,,
1735700400125,1.25e-05,0.10950000000000001,-8.8901e-06,,,
1735704000070,1.25e-05,0.10950000000000001,-4.5342e-06,,,
1735707600170,1.25e-05,0.10950000000000001,-0.0001559763,,,
1735711200066,1.25e-05,0.10950000000000001,-8.80389e-05,2.1023,2.1356,1405657.0
1735714800086,1.25e-05,0.10950000000000001,-2.85675e-05,2.1354,2.1427,1596147.0
1735718400132,1.25e-05,0.10950000000000001,-0.000116941,2.143,2.1249,839233.0
1735722000046,1.25e-05,0.10950000000000001,-1.57666e-05,2.1277,2.11,326182.0
1735725600089,1.25e-05,0.10950000000000001,-8.15203e-05,2.1102,2.1049,888699.0
1735729200037,1.25e-05,0.10950000000000001,-0.0001571975,2.1067,2.1078,384648.0
1735732800109,1.25e-05,0.10950000000000001,-8.50509e-05,2.1088,2.1359,776103.0
1735736400136,1.25e-05,0.10950000000000001,7.93477e-05,2.1363,2.1681,1404660.0
1735740000197,1.25e-05,0.10950000000000001,-2.68838e-05,2.168,2.1637,1302198.0
1735743600144,1.25e-05,0.10950000000000001,-0.0002096256,2.165,2.174,1469844.0
1735747200147,1.25e-05,0.10950000000000001,-0.0001159532,2.1743,2.2279,1363833.0
1735750800012,1.25e-05,0.10950000000000001,-0.0002966035,2.228,2.2629,3717657.0
1735754400038,1.25e-05,0.10950000000000001,-7.39865e-05,2.2635,2.2576,1618054.0
1735758000085,1.25e-05,0.10950000000000001,2.75884e-05,2.2592,2.321,2845604.0
1735761600055,1.25e-05,0.10950000000000001,1.96995e-05,2.3218,2.3178,4606738.0
1735765200084,1.25e-05,0.10950000000000001,0.0001200072,2.3174,2.307,2491085.0
1735768800022,1.25e-05,0.10950000000000001,0.0001034759,2.3089,2.3222,2725266.0
1735772400024,1.25e-05,0.10950000000000001,2.72447e-05,2.3231,2.3504,1720974.0
1735776000035,1.25e-05,0.10950000000000001,1.74047e-05,2.3501,2.3309,822857.0
1735779600036,1.25e-05,0.10950000000000001,0.0002559895,2.3331,2.3898,6174586.0
1735783200113,1.25e-05,0.10950000000000001,0.0003868771,2.3893,2.4022,1751893.0
1735786800118,1.25e-05,0.10950000000000001,0.000397509,2.4022,2.4072,1507102.0
1735790400032,1.25e-05,0.10950000000000001,0.000497461,2.4058,2.4258,2337098.0
1735794000034,1.25e-05,0.10950000000000001,0.0002658877,2.4248,2.3996,912576.0
1735797600034,1.25e-05,0.10950000000000001,0.0003278443,2.4015,2.3735,1157072.0
1735801200117,1.25e-05,0.10950000000000001,0.0003607507,2.3736,2.3558,1186157.0
1735804800072,1.25e-05,0.10950000000000001,0.0004119125,2.3567,2.3694,1211395.0
1735808400183,1.25e-05,0.10950000000000001,0.0003760711,2.3685,2.3808,741927.0
1735812000103,1.25e-05,0.10950000000000001,0.0004784719,2.3802,2.4039,1451551.0
1735815600036,1.25e-05,0.10950000000000001,0.0004387931,2.4012,2.3968,1055864.0
1735819200001,1.25e-05,0.10950000000000001,0.0004116866,2.3943,2.4051,524714.0
1735822800000,1.25e-05,0.10950000000000001,0.000591041,2.4049,2.4074,392537.0
1735826400005,1.25e-05,0.10950000000000001,0.0005630022,2.4058,2.3926,559778.0
1735830000058,1.25e-05,0.10950000000000001,0.000538307,2.3928,2.409,1843377.0
1735833600187,1.25e-05,0.10950000000000001,0.0004640822,2.4097,2.4061,1921161.0
1735837200037,1.52027e-05,0.13317565199999998,0.0006216216,2.4075,2.421,722735.0
1735840800194,2.60592e-05,0.22827859199999997,0.0007084734,2.4185,2.3969,2092878.0
1735844400036,2.72774e-05,0.23895002399999998,0.0007182192,2.3978,2.4098,1013846.0
1735848000101,4.05828e-05,0.355505328,0.0008246621,2.4089,2.3911,519242.0
1735851600054,1.26823e-05,0.11109694800000001,0.0006014581,2.3903,2.3818,1143726.0
1735855200028,1.25e-05,0.10950000000000001,0.0005063429,2.387,2.3883,606674.0
1735858800038,1.25e-05,0.10950000000000001,0.0004772651,2.3888,2.4077,1532107.0
1735862400016,1.77339e-05,0.155348964,0.0006418715,2.4067,2.4039,1023017.0
1735866000130,1.25e-05,0.10950000000000001,0.000532362,2.4039,2.4118,2326715.0
1735869600124,1.25e-05,0.10950000000000001,0.0003953476,2.416,2.425,1926788.0
1735873200115,1.25e-05,0.10950000000000001,0.0004399339,2.424,2.4503,4434239.0
1735876800045,5.90677e-05,0.517433052,0.0009725416,2.4499,2.4717,1878297.0
1735880400012,2.57657e-05,0.225707532,0.0007061256,2.4707,2.4435,2830145.0
1735884000188,1.25e-05,0.10950000000000001,-0.0001023443,2.4435,2.4291,2061946.0
1735887600102,1.25e-05,0.10950000000000001,-0.0001345156,2.43,2.4439,2733701.0
1735891200031,1.25e-05,0.10950000000000001,-0.0001615457,2.4436,2.4141,2087965.0
1735894800014,1.25e-05,0.10950000000000001,-0.000287046,2.4148,2.4122,1336815.0
1735898400053,1.25e-05,0.10950000000000001,-0.0001855874,2.4134,2.4206,421805.0
1735902000015,1.25e-05,0.10950000000000001,-0.0001468225,2.4212,2.4107,406545.0
1735905600016,1.25e-05,0.10950000000000001,-3.39296e-05,2.4104,2.41,2581801.0
1735909200072,1.25e-05,0.10950000000000001,6.13833e-05,2.4094,2.4043,3440361.0
1735912800035,1.25e-05,0.10950000000000001,0.0003942373,2.4045,2.4102,3049219.0
1735916400057,2.11656e-05,0.18541065599999998,0.0006693251,2.4105,2.4368,1733111.0
1735920000097,6.55615e-05,0.5743187399999999,0.0010244922,2.4373,2.4494,1656803.0
1735923600034,6.97493e-05,0.6110038680000001,0.0010579947,2.4497,2.4628,1593616.0
1735927200018,6.7006e-05,0.5869725600000001,0.0010360483,2.4626,2.4442,2807961.0
1735930800050,6.24313e-05,0.5468981880000001,0.0009994505,2.4451,2.4542,662287.0
1735934400058,0.0001018269,0.8920036440000001,0.001314615,2.4552,2.4772,2394544.0
1735938000099,4.07527e-05,0.35699365200000005,0.0008260217,2.4769,2.4512,2279637.0
1735941600061,2.47879e-05,0.217142004,0.0006983032,2.452,2.4543,1187499.0
1735945200013,3.41583e-05,0.299226708,0.0007732663,2.4563,2.4616,593913.0
1735948800067,2.90353e-05,0.254349228,0.0007322821,2.4615,2.4566,553718.0
1735952400033,2.02542e-05,0.177426792,0.0006620334,2.4566,2.4454,1667924.0
1735956000072,1.25e-05,0.10950000000000001,0.0005251417,2.4453,2.475,2097745.0
1735959600018,7.8764e-05,0.6899726399999999,0.0011301119,2.4762,2.4872,4809850.0
1735963200119,7.66328e-05,0.671303328,0.0011130621,2.4877,2.4679,614696.0
1735966800006,6.11201e-05,0.5354120760000001,0.0009889606,2.4679,2.4526,1872172.0
1735970400167,1.25e-05,0.10950000000000001,0.0005832099,2.4526,2.4559,3970528.0
1735974000098,4.46887e-05,0.39147301199999995,0.0008575098,2.4555,2.4585,1777263.0
1735977600019,3.31694e-05,0.290563944,0.000765355,2.4585,2.4478,283646.0
1735981200117,1.25e-05,0.10950000000000001,0.0005964983,2.448,2.435,618040.0
1735984800045,1.38744e-05,0.12153974400000002,0.0006109951,2.4352,2.4481,263845.0
1735988400071,2.82947e-05,0.247861572,0.0007263579,2.4477,2.4417,484511.0
1735992000052,2.14091e-05,0.187543716,0.0006712729,2.4404,2.4429,1000849.0
1735995600105,2.43996e-05,0.213740496,0.0006951971,2.4424,2.4512,661333.0
1735999200014,2.77497e-05,0.243087372,0.0007219974,2.4524,2.4565,523885.0
1736002800155,5.14497e-05,0.450699372,0.0009115978,2.4564,2.4611,425012.0
1736006400022,1.98969e-05,0.174296844,0.0006591749,2.4612,2.4133,2742105.0
1736010000040,1.25e-05,0.10950000000000001,0.0005246849,2.4125,2.4217,1203642.0
1736013600079,1.25e-05,0.10950000000000001,0.0005536411,2.4214,2.4285,593969.0
1736017200101,1.25e-05,0.10950000000000001,0.0004973239,2.4275,2.421,667275.0
1736020800100,1.25e-05,0.10950000000000001,0.0004648013,2.4224,2.425,141217.0
1736024400102,1.25e-05,0.10950000000000001,0.0005098798,2.4245,2.4368,439236.0
1736028000010,1.25e-05,0.10950000000000001,0.0005438909,2.4365,2.4249,554982.0
1736031600012,1.25e-05,0.10950000000000001,0.0005237527,2.4267,2.4297,279432.0
1736035200051,1.25e-05,0.10950000000000001,0.0005619807,2.4307,2.4217,489490.0
1736038800122,1.25e-05,0.10950000000000001,0.0004508464,2.4216,2.4113,900794.0
1736042400117,1.25e-05,0.10950000000000001,0.0002896181,2.4105,2.3888,1872559.0
1736046000108,1.25e-05,0.10950000000000001,0.0003620164,2.3894,2.3954,636178.0
1736049600097,1.25e-05,0.10950000000000001,0.0003353032,2.393,2.3912,749123.0
1736053200037,1.25e-05,0.10950000000000001,0.0003589844,2.3913,2.4023,264217.0
1736056800110,1.25e-05,0.10950000000000001,0.0004131579,2.4026,2.3967,153505.0
