2024-08-01T00:00:00.097000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0000378341
2024-08-01T01:00:00.090000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0000463105
2024-08-01T02:00:00.123000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002162517
2024-08-01T03:00:00.015000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002674618
2024-08-01T04:00:00.003000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001938778
2024-08-01T05:00:00.098000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0000861784
2024-08-01T06:00:00.025000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001784576
2024-08-01T07:00:00.151000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001168561
2024-08-01T08:00:00.157000+00:00 → rate: -0.00000108, annualized: -0.9491%, premium: -0.0005086673
2024-08-01T09:00:00.093000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003837781
2024-08-01T10:00:00+00:00 → rate: 0.00001180, annualized: 10.3396%, premium: -0.000405574
2024-08-01T11:00:00.139000+00:00 → rate: 0.00000928, annualized: 8.1328%, premium: -0.0004257281
2024-08-01T12:00:00.091000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003337784
2024-08-01T13:00:00.078000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003517079
2024-08-01T14:00:00.145000+00:00 → rate: 0.00000411, annualized: 3.6036%, premium: -0.0004670908
2024-08-01T15:00:00.088000+00:00 → rate: -0.00000749, annualized: -6.5647%, premium: -0.0005599515
2024-08-01T16:00:00.024000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003275075
2024-08-01T17:00:00.088000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001997621
2024-08-01T18:00:00.092000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001930107
2024-08-01T19:00:00.114000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001323991
2024-08-01T20:00:00.120000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0000379254
2024-08-01T21:00:00.096000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0000944068
2024-08-01T22:00:00.087000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0000160978
2024-08-01T23:00:00.128000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0000880841
2024-08-02T00:00:00.006000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002120047
2024-08-02T01:00:00.116000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002829263
2024-08-02T02:00:00.146000+00:00 → rate: 0.00001057, annualized: 9.2559%, premium: -0.0004154708
2024-08-02T03:00:00.013000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003204568
2024-08-02T04:00:00.119000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.000063781
2024-08-02T05:00:00.147000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0000813999
2024-08-02T06:00:00.160000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001651282
2024-08-02T07:00:00.054000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003559402
2024-08-02T08:00:00.113000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003940238
2024-08-02T09:00:00.135000+00:00 → rate: 0.00000903, annualized: 7.9061%, premium: -0.0004277981
2024-08-02T10:00:00.136000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003961192
2024-08-02T11:00:00.046000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003717672
2024-08-02T12:00:00.147000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002224381
2024-08-02T13:00:00.044000+00:00 → rate: 0.00000142, annualized: 1.2419%, premium: -0.0004886584
